epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,994.689,1.09409,1.73895,1.36985,0.53349,0.50714,0.48074,0.34047,1.28281,4.36964,1.80009,0.00054,0.00054,0.00054
2,1815.96,1.28566,1.47654,1.47302,0.22291,0.40714,0.2007,0.0703,2.42746,9.07982,3.16124,0.0010637,0.0010637,0.0010637
3,2506.56,1.29016,1.37021,1.49567,0.17352,0.27143,0.10651,0.02673,3.02908,37.7451,5.83336,0.00155044,0.00155044,0.00155044
4,3214.72,1.36555,1.41943,1.52151,0.09962,0.18571,0.03427,0.00925,3.60502,100.3,12.5349,0.001802,0.001802,0.001802
5,4095.37,1.34283,1.31674,1.52326,0.18581,0.37857,0.18682,0.06212,2.44921,9.8819,3.41592,0.001736,0.001736,0.001736
6,4957.52,1.32435,1.34254,1.53543,0.51161,0.23947,0.27371,0.17423,2.15347,3.66354,2.57961,0.00167,0.00167,0.00167
7,5793.41,1.24643,1.27126,1.46639,0.26686,0.29286,0.18646,0.09535,2.1267,7.18771,2.48983,0.001604,0.001604,0.001604
8,6611.73,1.23044,1.24461,1.43578,0.43924,0.5595,0.43063,0.24059,1.5784,3.1276,2.01239,0.001538,0.001538,0.001538
9,7444.57,1.22859,1.13262,1.46327,0.66465,0.53796,0.55739,0.30281,1.73603,1.92458,2.25888,0.001472,0.001472,0.001472
10,8199.48,1.17567,1.09165,1.40926,0.56074,0.55714,0.56432,0.37707,1.34274,1.86336,1.71088,0.001406,0.001406,0.001406
11,8932.02,1.23283,1.16549,1.41672,0.60481,0.65591,0.65116,0.42638,1.28718,1.34733,1.67134,0.00134,0.00134,0.00134
12,9666.35,1.17526,1.09858,1.39881,0.65121,0.60011,0.63147,0.36866,1.41662,1.30164,1.75199,0.001274,0.001274,0.001274
13,10356.3,1.10822,1.00341,1.32877,0.70908,0.71381,0.70745,0.45334,1.26898,1.11204,1.61596,0.001208,0.001208,0.001208
14,11112.2,1.09368,0.96757,1.34473,0.75054,0.76429,0.7872,0.50695,1.23793,1.0817,1.57134,0.001142,0.001142,0.001142
15,11906.3,1.11724,0.98106,1.31838,0.82278,0.72857,0.80864,0.555,1.20604,0.94457,1.58669,0.001076,0.001076,0.001076
16,12759.4,1.05157,0.94377,1.29175,0.89165,0.76429,0.85351,0.57676,1.10907,0.88007,1.50477,0.00101,0.00101,0.00101
17,13500.8,1.02668,0.83992,1.30026,0.83705,0.71429,0.83653,0.59461,1.0409,0.85081,1.44529,0.000944,0.000944,0.000944
18,14204.6,1.00277,0.85663,1.27887,0.86147,0.75,0.82823,0.58507,1.04643,0.85792,1.41425,0.000878,0.000878,0.000878
19,14946.6,0.92881,0.77995,1.23181,0.85961,0.74354,0.83828,0.58342,1.08411,0.87037,1.48074,0.000812,0.000812,0.000812
20,15696,0.95003,0.81165,1.24362,0.90323,0.73571,0.82949,0.6007,1.06018,0.85499,1.42712,0.000746,0.000746,0.000746
21,16459.1,1.01539,0.83476,1.3851,0.81204,0.67857,0.77246,0.5191,1.17608,0.97984,1.60953,0.00068,0.00068,0.00068
22,17171.1,0.95348,0.75197,1.32578,0.90975,0.79205,0.87631,0.63851,1.01325,0.76808,1.4514,0.000614,0.000614,0.000614
23,17809,0.89011,0.69227,1.26957,0.94088,0.79581,0.85711,0.63283,0.9843,0.75285,1.36204,0.000548,0.000548,0.000548
24,18464.2,0.85182,0.65106,1.23431,0.92432,0.85,0.88498,0.64944,1.01146,0.7023,1.402,0.000482,0.000482,0.000482
25,19160,0.84758,0.63361,1.23291,0.89864,0.86429,0.8979,0.67704,0.94374,0.65705,1.35404,0.000416,0.000416,0.000416
26,19795.1,0.83954,0.6181,1.21833,0.87162,0.85714,0.89636,0.68871,0.90836,0.61505,1.31145,0.00035,0.00035,0.00035
27,20419.7,0.81118,0.57606,1.19972,0.9491,0.83571,0.8911,0.68313,0.95282,0.63195,1.33572,0.000284,0.000284,0.000284
28,21066.6,0.80093,0.58751,1.19273,0.90773,0.85714,0.91051,0.67391,0.96469,0.60047,1.36368,0.000218,0.000218,0.000218
29,21728.4,0.78135,0.53655,1.16401,0.94488,0.85711,0.91604,0.70813,0.87093,0.55206,1.30439,0.000152,0.000152,0.000152
30,22370.2,0.73934,0.51484,1.15445,0.93835,0.85714,0.91736,0.70703,0.85042,0.55561,1.29059,8.6e-05,8.6e-05,8.6e-05
